fid,Pressure_h,Temperatur,Humidity_p,Radiation_,UV_mWcm2,Latitude,Longitude,Altitude_m,SO2_October_2025,O3_October_2025,NO2_October_2025,CO_October_2025,UVAI_October_2025
1,135.18,0.04,19.94,0,1.08,25.427233,76.554512,14112.8903729741,0.00035,0.12523,0.00003,0.02923,-0.11713
2,135.8,0.14,20.1,0,1.46,25.427233,76.554512,14086.5702155797,0.00035,0.12523,0.00003,0.02923,-0.11713
3,136.39,0.22,20.01,0,0.87,25.427233,76.554512,14061.6138142111,0.00035,0.12523,0.00003,0.02923,-0.11713
4,137.05,0.28,19.7,0,0.95,25.427233,76.554512,14033.7998608362,0.00035,0.12523,0.00003,0.02923,-0.11713
5,137.84,0.35,19.63,0,0.86,25.427233,76.554512,14000.6496533937,0.00035,0.12523,0.00003,0.02923,-0.11713
6,138.5,0.43,19.77,0,0.64,25.427233,76.554512,13973.0722912191,0.00035,0.12523,0.00003,0.02923,-0.11713
7,139.06,0.49,19.52,0,0.9,25.427233,76.554512,13949.7566422064,0.00035,0.12523,0.00003,0.02923,-0.11713
8,139.85,0.56,20.14,0,1.22,25.427233,76.554512,13916.9938652456,0.00035,0.12523,0.00003,0.02923,-0.11713
9,140.51,0.64,19.55,0,1.56,25.427233,76.554512,13889.7371333451,0.00035,0.12523,0.00003,0.02923,-0.11713
10,141.18,0.72,19.59,0,1.64,25.427233,76.554512,13862.1732538788,0.00035,0.12523,0.00003,0.02923,-0.11713
11,141.89,0.79,20.32,0,1.22,25.427233,76.554512,13833.0791253207,0.00035,0.12523,0.00003,0.02923,-0.11713
12,142.66,0.85,20.16,0,0.58,25.427233,76.554512,13801.6592839962,0.00035,0.12523,0.00003,0.02923,-0.11713
13,143.34,0.9,20.52,0,0.36,25.425438,76.553225,13774.0258698759,0.00035,0.12523,0.00003,0.02923,-0.11713
14,144.14,1.07,21.3,0,0.81,25.425438,76.553225,13741.6515443989,0.00035,0.12523,0.00003,0.02923,-0.11713
15,144.93,1.12,21.08,0,1.33,25.424602,76.552628,13709.8243639447,0.00035,0.12523,0.00003,0.02923,-0.11713
16,145.7,1.23,21.23,0,1.52,25.423709,76.551975,13678.9378386371,0.00035,0.12523,0.00003,0.02923,-0.11713
17,146.41,1.33,21.84,0,1.55,25.421886,76.550512,13650.5749611359,0.00035,0.12523,0.00003,0.02923,-0.11713
18,147.09,1.39,21.65,0,1.22,25.421886,76.550512,13623.5147380269,0.00035,0.12523,0.00003,0.02923,-0.11713
19,147.83,1.46,21.93,0,0.82,25.421118,76.549744,13594.1817051471,0.00035,0.12523,0.00003,0.02923,-0.11713
20,148.58,1.55,21.81,0,0.91,25.420316,76.54913,13564.5733481533,0.00035,0.12523,0.00003,0.02923,-0.11713
21,149.2,1.63,22.61,0,0.67,25.419442,76.548481,13540.1883418432,0.00035,0.12523,0.00003,0.02923,-0.11713
22,150.01,1.67,21.8,0,1,25.418685,76.547613,13508.4538320552,0.00035,0.12523,0.00003,0.02923,-0.11713
23,150.75,1.75,22.07,0,1.28,25.418072,76.546866,13479.5828651791,0.00035,0.12523,0.00003,0.02923,-0.11713
24,151.57,1.82,22.18,0,1.07,25.417376,76.546118,13447.7244420574,0.00035,0.12523,0.00003,0.02923,-0.11713
25,152.06,1.88,22,0,1.07,25.41678,76.545278,13428.7536496603,0.00035,0.12523,0.00003,0.02923,-0.11713
26,152.65,1.96,22.77,0,1.03,25.416182,76.544462,13405.976840399,0.00035,0.12523,0.00003,0.02923,-0.11713
27,153.36,2.03,21.81,0,0.99,25.415718,76.543681,13378.6617740489,0.00035,0.12523,0.00003,0.02923,-0.11713
28,153.96,2.11,21.79,0,1.11,25.415151,76.543052,13355.6583353065,0.00035,0.12523,0.00003,0.02923,-0.11713
29,154.56,2.21,21.95,0,0.68,25.414682,76.54214,13332.7273731192,0.00035,0.12523,0.00003,0.02923,-0.11713
30,155.28,2.29,22.2,0,1.17,25.412933,76.539429,13305.3051721391,0.00035,0.12523,0.00003,0.02923,-0.11713
31,156.02,2.34,22.37,0,1.09,25.412933,76.539429,13277.2283230987,0.00035,0.12523,0.00003,0.02923,-0.11713
32,156.58,2.41,22.18,0,1.38,25.412933,76.539429,13256.0525679306,0.00035,0.12523,0.00003,0.02923,-0.11713
