fid,Pressure_h,Radiation_,UV_mWcm2,Latitude,Longitude,Altitude_m,aod55_Octo,aod47_Octo,UVAI_Octob
1,135.18,0,1.08,25.427233,76.554512,14112.8903729741,610,781,-0.75104
2,135.8,0,1.46,25.427233,76.554512,14086.5702155797,610,781,-0.75104
3,136.39,0,0.87,25.427233,76.554512,14061.6138142111,610,781,-0.75104
4,137.05,0,0.95,25.427233,76.554512,14033.7998608362,610,781,-0.75104
5,137.84,0,0.86,25.427233,76.554512,14000.6496533937,610,781,-0.75104
6,138.5,0,0.64,25.427233,76.554512,13973.0722912191,610,781,-0.75104
7,139.06,0,0.9,25.427233,76.554512,13949.7566422064,610,781,-0.75104
8,139.85,0,1.22,25.427233,76.554512,13916.9938652456,610,781,-0.75104
9,140.51,0,1.56,25.427233,76.554512,13889.7371333451,610,781,-0.75104
10,141.18,0,1.64,25.427233,76.554512,13862.1732538788,610,781,-0.75104
11,141.89,0,1.22,25.427233,76.554512,13833.0791253207,610,781,-0.75104
12,142.66,0,0.58,25.427233,76.554512,13801.6592839962,610,781,-0.75104
13,143.34,0,0.36,25.425438,76.553225,13774.0258698759,601,769,-0.75104
14,144.14,0,0.81,25.425438,76.553225,13741.6515443989,601,769,-0.75104
15,144.93,0,1.33,25.424602,76.552628,13709.8243639447,601,769,-0.75104
16,145.7,0,1.52,25.423709,76.551975,13678.9378386371,601,769,-0.75104
17,146.41,0,1.55,25.421886,76.550512,13650.5749611359,591,756,-0.75104
18,147.09,0,1.22,25.421886,76.550512,13623.5147380269,591,756,-0.75104
19,147.83,0,0.82,25.421118,76.549744,13594.1817051471,591,756,-0.75104
20,148.58,0,0.91,25.420316,76.54913,13564.5733481533,591,756,-0.75104
21,149.2,0,0.67,25.419442,76.548481,13540.1883418432,591,756,-0.75104
22,150.01,0,1,25.418685,76.547613,13508.4538320552,591,756,-0.75104
23,150.75,0,1.28,25.418072,76.546866,13479.5828651791,591,756,-0.75104
24,151.57,0,1.07,25.417376,76.546118,13447.7244420574,591,756,-0.75104
25,152.06,0,1.07,25.41678,76.545278,13428.7536496603,590,755,-0.75104
26,152.65,0,1.03,25.416182,76.544462,13405.976840399,590,755,-0.75104
27,153.36,0,0.99,25.415718,76.543681,13378.6617740489,590,755,-0.75104
28,153.96,0,1.11,25.415151,76.543052,13355.6583353065,590,755,-0.75104
29,154.56,0,0.68,25.414682,76.54214,13332.7273731192,590,755,-0.75104
30,155.28,0,1.17,25.412933,76.539429,13305.3051721391,595,761,-0.75104
31,156.02,0,1.09,25.412933,76.539429,13277.2283230987,595,761,-0.75104
32,156.58,0,1.38,25.412933,76.539429,13256.0525679306,595,761,-0.75104
33,157.25,0,1.06,25.412933,76.539429,13230.797715805,595,761,-0.75104
34,157.71,0,1.15,25.412459,76.538622,13213.5089638272,595,761,-0.75104
35,158.33,0,1.45,25.411628,76.536913,13190.2712240244,595,761,-0.75104
36,158.91,0,1.53,25.411238,76.536139,13168.5993036947,0,0,-0.75104
37,159.48,0,1.18,25.409961,76.533411,13147.363350645,0,0,-0.75104
38,159.97,0,0.89,25.409961,76.533411,13129.1569517408,0,0,-0.75104
39,160.66,0,1.32,25.409961,76.533411,13103.5957833191,0,0,-0.75104
40,161.21,0,1.35,25.409566,76.532638,13083.2845302384,0,0,-0.75104
41,161.81,0,1.07,25.40921,76.531792,13061.1906945461,0,0,-0.75104
42,162.45,0,1.53,25.40877,76.531012,13037.6969353378,0,0,-0.75104
43,163,0,1.34,25.408275,76.530234,13017.5667901571,0,0,-0.75104
44,163.53,0,1.13,25.407834,76.529361,12998.2206200807,0,0,-0.75104
45,164.15,0,1.32,25.407362,76.528519,12975.6535813298,0,0,-0.75104
46,164.87,0,1.46,25.406792,76.52777,12949.5331491319,0,0,-0.75104
47,165.62,0,1.22,25.406271,76.526978,12922.4224018089,0,0,-0.68293
48,166.11,0,1,25.405798,76.526194,12904.7636903137,0,0,-0.68293
49,166.68,0,1.23,25.405244,76.52545,12884.2749169706,0,0,-0.68293
50,167.31,0,1.24,25.404689,76.524686,12861.6953329057,0,0,-0.68293
51,167.95,0,0.85,25.404183,76.523904,12838.8277270837,0,0,-0.46185
52,168.6,0,0.81,25.403692,76.523113,12815.6749248032,0,0,-0.46185
53,169.2,0,1.23,25.403087,76.522471,12794.367170738,0,0,-0.46185
54,169.8,0,0.9,25.402512,76.521722,12773.1205124821,0,0,-0.46185
55,170.46,0,1.34,25.401906,76.521052,12749.8192885428,0,0,-0.46185
56,171.1,0,1.31,25.401906,76.521052,12727.2938252947,0,0,-0.46185
57,171.69,0,1.41,25.399998,76.5195,12706.5885220347,0,0,-0.46185
58,172.46,0,1.33,25.399998,76.5195,12679.6528339024,0,0,-0.46185
59,173,0,1.32,25.399239,76.518931,12660.8209064223,0,0,-0.46185
60,173.62,0,1.27,25.398539,76.518456,12639.2576709559,0,0,-0.46185
61,174.21,0,1.22,25.397819,76.517973,12618.7956399061,0,0,-0.46185
62,174.8,0,1.02,25.396501,76.517074,12598.3896463141,0,0,-0.46185
63,175.5,0,1.12,25.396501,76.517074,12574.25135761,0,0,-0.46185
64,176.04,0,0.92,25.395741,76.516565,12555.6836029207,0,0,-0.46185
65,176.63,0,0.88,25.395004,76.516004,12535.449260324,0,0,-0.46185
66,177.33,0,0.99,25.393681,76.51485,12511.5132773146,0,0,-0.46185
67,177.95,0,0.86,25.393681,76.51485,12490.3766435175,0,0,-0.46185
68,178.62,0,0.89,25.392923,76.514283,12467.6023755783,0,0,-0.46185
69,179.35,0,0.96,25.392238,76.513798,12442.8672276786,0,0,-0.46185
70,180,0,1.09,25.391468,76.513245,12420.9112982455,0,0,-0.46185
71,180.68,0,0.98,25.390274,76.512097,12398.0106245943,0,0,-0.46185
