datetime,gps_time_str,lat,lon,val_4,su202,temp_C,humidity_pct,pressure_hPa,cpm,o3_ppm,alt_m
2000-01-01 13:33:00,GPS Time :2025-10-5 7:14,25.297854,76.191831,234.4,0.19,30.45,70.65,985.4,72.0,0.1,-3.6080647002512536
2000-01-01 13:33:06,GPS Time :2025-10-5 7:14,25.297853,76.191831,234.4,0.2,30.47,70.69,985.42,24.0,0.2,-3.788436800442819
2000-01-01 13:33:13,GPS Time :2025-10-5 7:14,25.297853,76.191831,234.4,0.2,30.48,70.72,985.36,36.0,0.2,-3.2473116061651615
2000-01-01 13:33:20,GPS Time :2025-10-5 7:14,25.297852,76.191831,234.3,0.19,30.49,70.73,985.43,60.0,0.2,-3.8786217388750033
2000-01-01 13:33:26,GPS Time :2025-10-5 7:15,25.297852,76.191831,234.3,0.2,30.5,70.78,985.37,24.0,0.2,-3.337500991438453
2000-01-01 13:33:33,GPS Time :2025-10-5 7:15,25.297852,76.191831,234.3,0.19,30.52,70.8,985.29,12.0,0.1,-2.6159651552904086
2000-01-01 13:33:39,GPS Time :2025-10-5 7:15,25.297852,76.191832,234.3,0.2,30.53,70.83,985.36,48.0,0.1,-3.2473116061651615
2000-01-01 13:33:46,GPS Time :2025-10-5 7:15,25.297853,76.191832,234.3,0.21,30.55,70.83,985.34,72.0,0.1,-3.0669306120528046
2000-01-01 13:33:53,GPS Time :2025-10-5 7:15,25.297853,76.191832,234.3,0.2,30.57,70.99,985.35,12.0,0.1,-3.157121479717109
2000-01-01 13:33:59,GPS Time :2025-10-5 7:15,25.297853,76.191832,234.2,0.19,30.59,70.76,985.38,24.0,0.2,-3.4276896355266104
2000-01-01 13:34:06,GPS Time :2025-10-5 7:15,25.297853,76.191832,234.2,0.2,30.6,70.87,985.37,24.0,0.1,-3.337500991438453
2000-01-01 13:34:12,GPS Time :2025-10-5 7:15,25.297854,76.191833,234.2,0.2,30.62,70.88,985.33,108.0,0.1,-2.97673900318262
2000-01-01 13:34:19,GPS Time :2025-10-5 7:15,25.297854,76.191833,234.2,0.2,30.64,70.88,985.39,108.0,0.1,-3.5178775384607532
2000-01-01 13:34:26,GPS Time :2025-10-5 7:16,25.297855,76.191833,234.2,0.21,30.65,70.82,985.39,24.0,0.1,-3.5178775384607532
2000-01-01 13:34:32,GPS Time :2025-10-5 7:16,25.297855,76.191834,234.3,0.21,30.69,70.89,985.31,24.0,0.2,-2.7963535617520026
2000-01-01 13:34:39,GPS Time :2025-10-5 7:16,25.297855,76.191834,234.3,0.2,30.7,70.89,985.33,0.0,0.1,-2.97673900318262
2000-01-01 13:34:46,GPS Time :2025-10-5 7:16,25.297855,76.191834,234.4,0.21,30.72,70.89,985.33,36.0,0.1,-2.97673900318262
2000-01-01 13:34:52,GPS Time :2025-10-5 7:16,25.297856,76.191834,234.5,0.2,30.74,70.88,985.35,24.0,0.1,-3.157121479717109
2000-01-01 13:34:59,GPS Time :2025-10-5 7:16,25.297857,76.191834,234.6,0.21,30.76,70.92,985.38,60.0,0.1,-3.4276896355266104
2000-01-01 13:35:05,GPS Time :2025-10-5 7:16,25.297857,76.191833,234.7,0.21,30.8,70.81,985.44,24.0,0.1,-3.9688059362050367
2000-01-01 13:35:12,GPS Time :2025-10-5 7:16,25.297857,76.191833,234.7,0.21,30.81,70.94,985.36,24.0,0.1,-3.2473116061651615
2000-01-01 13:35:19,GPS Time :2025-10-5 7:16,25.297858,76.191833,234.9,0.2,30.84,70.85,985.4,60.0,0.1,-3.6080647002512536
2000-01-01 13:35:25,GPS Time :2025-10-5 7:17,25.29786,76.191833,235.0,0.21,30.86,70.86,985.38,48.0,0.1,-3.4276896355266104
2000-01-01 13:35:32,GPS Time :2025-10-5 7:17,25.29786,76.191833,235.0,0.22,30.88,70.85,985.36,12.0,0.1,-3.2473116061651615
2000-01-01 13:35:38,GPS Time :2025-10-5 7:17,25.29786,76.191833,235.1,0.22,30.91,70.4,985.36,48.0,0.1,-3.2473116061651615
2000-01-01 13:35:45,GPS Time :2025-10-5 7:17,25.29786,76.191832,235.1,0.21,30.94,70.8,985.46,0.0,0.0,-4.149172107662381
2000-01-01 13:35:52,GPS Time :2025-10-5 7:17,25.29786,76.191832,235.2,0.21,30.95,70.49,985.32,12.0,0.0,-2.8865466530858104
2000-01-01 13:35:58,GPS Time :2025-10-5 7:17,25.29786,76.191831,235.2,0.21,30.99,70.74,985.38,12.0,0.0,-3.4276896355266104
2000-01-01 13:36:05,GPS Time :2025-10-5 7:17,25.297861,76.191831,235.3,0.21,31.01,70.56,985.36,24.0,0.0,-3.2473116061651615
2000-01-01 13:36:11,GPS Time :2025-10-5 7:17,25.297861,76.19183,235.4,0.19,31.03,70.71,985.37,24.0,0.0,-3.337500991438453
2000-01-01 13:36:18,GPS Time :2025-10-5 7:17,25.297861,76.19183,235.4,0.19,31.06,70.71,985.37,24.0,0.0,-3.337500991438453
2000-01-01 13:36:25,GPS Time :2025-10-5 7:18,25.297861,76.19183,235.5,0.18,31.08,70.68,985.38,0.0,0.0,-3.4276896355266104
2000-01-01 13:36:31,GPS Time :2025-10-5 7:18,25.297861,76.191831,235.6,0.19,31.11,70.69,985.4,12.0,0.0,-3.6080647002512536
2000-01-01 13:36:38,GPS Time :2025-10-5 7:18,25.297861,76.191831,235.6,0.18,31.13,70.65,985.41,24.0,0.0,-3.6982511209084845
2000-01-01 13:36:44,GPS Time :2025-10-5 7:18,25.297861,76.191831,235.7,0.17,31.16,70.63,985.35,12.0,0.0,-3.157121479717109
2000-01-01 13:36:51,GPS Time :2025-10-5 7:18,25.297862,76.191831,235.7,0.19,31.18,70.61,985.38,24.0,0.0,-3.4276896355266104
2000-01-01 13:36:58,GPS Time :2025-10-5 7:18,25.297861,76.191831,235.7,0.19,31.22,70.33,985.37,48.0,0.0,-3.337500991438453
2000-01-01 13:37:04,GPS Time :2025-10-5 7:18,25.297861,76.191831,235.7,0.17,31.23,70.39,985.36,24.0,0.0,-3.2473116061651615
2000-01-01 13:37:11,GPS Time :2025-10-5 7:18,25.297861,76.191831,235.7,0.19,31.25,70.37,985.31,36.0,0.0,-2.7963535617520026
2000-01-01 13:37:18,GPS Time :2025-10-5 7:18,25.297861,76.19183,235.7,0.2,31.28,70.31,985.36,24.0,0.0,-3.2473116061651615
2000-01-01 13:37:24,GPS Time :2025-10-5 7:19,25.297861,76.19183,235.7,0.2,31.31,70.27,985.36,96.0,0.0,-3.2473116061651615
2000-01-01 13:37:31,GPS Time :2025-10-5 7:19,25.297861,76.19183,235.7,0.2,31.33,70.21,985.36,0.0,0.0,-3.2473116061651615
2000-01-01 13:37:37,GPS Time :2025-10-5 7:19,25.29786,76.19183,235.7,0.19,31.35,70.17,985.32,12.0,0.0,-2.8865466530858104
2000-01-01 13:37:44,GPS Time :2025-10-5 7:19,25.29786,76.19183,235.7,0.17,31.37,70.13,985.29,36.0,0.0,-2.6159651552904086
2000-01-01 13:37:51,GPS Time :2025-10-5 7:19,25.297859,76.191829,235.7,0.2,31.39,69.74,985.3,48.0,0.0,-2.7061597291500776
2000-01-01 13:37:57,GPS Time :2025-10-5 7:19,25.297859,76.19183,235.7,0.19,31.41,70.05,985.34,24.0,0.0,-3.0669306120528046
2000-01-01 13:38:04,GPS Time :2025-10-5 7:19,25.297859,76.191829,235.6,0.17,31.45,69.98,985.29,12.0,0.0,-2.6159651552904086
2000-01-01 13:38:10,GPS Time :2025-10-5 7:19,25.297868,76.191821,236.2,0.2,31.47,69.95,985.22,12.0,0.0,-1.9845823815621935
2000-01-01 13:38:17,GPS Time :2025-10-5 7:19,25.297872,76.191818,236.2,0.2,31.5,69.91,985.27,12.0,0.0,-2.435573783694109
2000-01-01 13:38:24,GPS Time :2025-10-5 7:20,25.297868,76.191819,236.3,0.23,31.52,69.88,985.26,24.0,0.0,-2.345376985947106
2000-01-01 13:38:30,GPS Time :2025-10-5 7:20,25.297866,76.191826,236.3,0.23,31.54,69.78,985.34,24.0,0.0,-3.0669306120528046
2000-01-01 13:38:37,GPS Time :2025-10-5 7:20,25.297866,76.191826,236.3,0.21,31.57,69.54,985.28,108.0,0.0,-2.5257698401418764
